YK FRUIT & VEGETABLE CORP,"383 8TH AVENUE
W. 29TH & W.30TH STREETS
NEW YORK, NY 10001",122,AX,08/31/2012,Expired,1141504,"GROCERY BEER, WINE PROD",Expired,1,06/26/2003,09/01/2009,08/31/2012
MOON'S BROTHERS MARKET CORP.,"383 8TH AVENUE
NEW YORK, NY 10001",ML1,A,09/19/2003,License is Inactive,1141505,GROCERY STORE BEER,License is Inactive,1,06/26/2003,09/19/2003,09/19/2003
N & A PRODUCTIONS INC,"27 W 35TH ST
NEW YORK, NY 10001",901,OP,09/30/2017,License is Active,ON-PREMISES LIQUOR,License is Active,3,"
",N & A PRODUCTIONS INC,ADDL BAR 2ND FLOOR,1
IZUMI JAPANESE RESTAURANT INC,"139 W 28TH ST STORE WEST
6TH AVE & 7TH AVE
NEW YORK, NY 10001",341,RW,07/31/2009,Expired,1141701,RESTAURANT WINE,Expired,1,07/02/2003,08/01/2008,07/31/2009
WONJO VICTORIA CORP,"23 W 32ND STREET
BROADWAY & 5TH AVE
NEW YORK, NY 10001",252,OP,08/31/2007,License is Inactive,1142301,ON-PREMISES LIQUOR,License is Inactive,1,07/23/2003,09/01/2005,08/31/2007
WONJO VICTORIA CORP,"23 W 32ND STREET
NEW YORK, NY 10001",001,ST,10/28/2003,License is Inactive,1142302,TEMPORARY PERMIT,License is Inactive,1,07/23/2003,07/31/2003,10/28/2003
WONJO CORP,"23 W 32ND STREET
NEW YORK, NY 10001",ML1,OP,09/23/2003,License is Inactive,1142304,ON-PREMISES LIQUOR,License is Inactive,1,07/23/2003,09/23/2003,09/23/2003
LOS AMIGOS DE MORGAN INC,"315 10TH AVE
28TH & 29TH STREETS
NEW YORK, NY 10001",341,RW,08/31/2005,License is Inactive,1142370,RESTAURANT WINE,License is Inactive,3,07/25/2003,09/01/2004,08/31/2005
ZAKI ENTERTAINMENT CORP,"152A WEST 26 STREET
6TH & 7TH AVENUES
NEW YORK, NY 10001",252,OP,09/30/2007,License is Inactive,1143195,ON-PREMISES LIQUOR,License is Inactive,4,08/19/2003,10/01/2005,09/30/2007
MY HOUSE ENTERTAINMENT GROUP LLC,"481 8TH AVE AKA 310 307 W 34ST
34TH & 35TH STREET
NEW YORK, NY 10001",256,CR,,License is Inactive,1143415,CABARET LIQUOR ,License is Inactive,1,08/25/2003,,
MY HOUSE ENTERTAINMENT GROUP LLC,"481 8TH AVE AKA 310 307 W 34ST
34TH & 35TH STREETS
NEW YORK, NY 10001",901,CR,,License is Inactive,CABARET LIQUOR ,License is Inactive,1,"
",MY HOUSE ENTERTAINMENT GROUP LLC,ADDL BAR,1
MY HOUSE ENTERTAINMENT GROUP LLC,"481 8TH AVE AKA 310 307 W 34ST
34TH & 35TH STREETS
NEW YORK, NY 10001",902,CR,,License is Inactive,CABARET LIQUOR ,License is Inactive,1,"
",MY HOUSE ENTERTAINMENT GROUP LLC,ADDL BAR,1
