AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/1998,Expired,2001328,RAILROAD CAR,Expired,2,,10/01/1995,09/30/1998
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/1998,Expired,2001329,RAILROAD CAR,Expired,2,,10/01/1995,09/30/1998
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/1998,Expired,2001330,RAILROAD CAR,Expired,2,,10/01/1995,09/30/1998
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/1998,Expired,2001331,RAILROAD CAR,Expired,2,,10/01/1995,09/30/1998
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/1998,Expired,2001332,RAILROAD CAR,Expired,2,,10/01/1995,09/30/1998
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/1998,Expired,2001333,RAILROAD CAR,Expired,2,,10/01/1995,09/30/1998
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001334,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001335,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001336,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001337,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001338,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001339,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001340,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001341,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001342,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001343,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001344,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001345,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
AMTRAK N R P CORP,"PENN STATION
UNDER OPTION B
NEW YORK, NY 10001",250,RR,09/30/2017,License is Active,2001346,RAILROAD CAR,License is Active,2,,10/01/2015,09/30/2017
