DUARD PAQUARD INC,"253 W 28TH STREET
NEW YORK, NY 10001",902,OP,,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,3,"
",DUARD PAQUARD INC,,1
ANGAM CORP,"253 W 28TH STREET
NEW YORK, NY 10001",ML1,OP,,Pending,1121469,ON-PREMISES LIQUOR,Pending,3,10/02/2001,,
NATURAL PLUS DELI CORP,"2 WEST 32ND STREET
5TH AVENUE & 6TH AVENUE
NEW YORK, NY 10001",252,OP,11/30/2003,Expired,1121471,ON-PREMISES LIQUOR,Expired,3,10/02/2001,12/21/2001,11/30/2003
PMF RESTAURANT CORP,"36 WEST 33RD STREET
5TH & 6TH AVENUES
NEW YORK, NY 10001",252,OP,10/31/2017,License is Active,1121648,ON-PREMISES LIQUOR,License is Active,4,10/05/2001,11/04/2015,10/31/2017
ADMIRAL WINE MERCHANTS,"246 FIFTH AVENUE
NEW YORK, NY 10001",3MF,PC,12/31/2004,Pending,2111650,PERMIT CLONE FOLDER RECORD,Pending,,10/15/2001,,12/31/2004
MAS FOOD INC,"403 8TH AVENUE
CORNER OF 30TH STREET
NEW YORK, NY 10001",122,A,11/30/2013,Expired,1121904,GROCERY STORE BEER,Expired,1,10/19/2001,12/01/2010,11/30/2013
ESQUIRE CORPORATE NETWORKS INC,"403 8TH AVENUE
NEW YORK, NY 10001",001,ST,01/27/2002,Expired,1121905,TEMPORARY PERMIT,Expired,1,10/19/2001,10/31/2001,01/27/2002
"NAS FOOD MART, INC","403 8TH AVE
NEW YORK, NY 10001",ML1,A,12/20/2001,License is Inactive,1121907,GROCERY STORE BEER,License is Inactive,1,10/19/2001,12/20/2001,12/20/2001
247 WEST 30TH STREET CORP.,"247 WEST 30TH STREET
7TH AVENUE & 8TH AVENUE
NEW YORK, NY 10001",252,OP,01/31/2006,Expired,1121993,ON-PREMISES LIQUOR,Expired,4,10/23/2001,02/01/2004,01/31/2006
GREAT SUNSAN WINE IMPORTS LTD,"15 PENN PLAZA, LEVEL B ROOM 51
NEW YORK, NY 10001",303,WW,06/30/2008,Expired,1122593,WHOLESALE WINE,Expired,,11/14/2001,07/01/2007,06/30/2008
MADISON SQUARE GARDEN L P,"4 PENNSYLVANIA PLAZA
NEW YORK, NY 10001",929,BP,04/30/2013,License is Inactive,BALL PARK BEER,License is Inactive,1,"
",MADISON SQUARE GARDEN L P,ADDL STAND  7TH FLOOR TOWER A,1
LA WYE CORP,"105 WEST 27TH STREET
27TH STREET & 6TH AVENUE
NEW YORK, NY 10001",252,OP,06/30/2008,Expired,1122817,ON-PREMISES LIQUOR,Expired,1,11/21/2001,07/01/2006,06/30/2008
DELI NARA INC,"260 WEST 35TH STREET
7TH AVENUE & 8TH AVENUE
NEW YORK, NY 10001",141,EB,01/31/2005,License is Inactive,1122974,EATING PLACE BEER,License is Inactive,3,11/27/2001,02/15/2002,01/31/2005
DELI NARA INC,"260 WEST 35TH STREET
NEW YORK, NY 10001",001,ST,03/04/2002,License is Inactive,1122975,TEMPORARY PERMIT,License is Inactive,3,11/27/2001,12/05/2001,03/04/2002
HAI WHA PAK & CHUNG HO PAK,"260 W 35TH ST STORE #1
NEW YORK, NY 10001",ML1,EB,02/15/2002,License is Inactive,1122976,EATING PLACE BEER,License is Inactive,4,11/27/2001,02/15/2002,02/15/2002
SPLASHLIGHT PHOTOGRAPHIC & DIGITAL,"529-535 W 35TH ST
NEW YORK, NY 10001",252,OP,01/31/2009,Expired,1123098,ON-PREMISES LIQUOR,Expired,4,11/30/2001,02/01/2007,01/31/2009
YOUNG K CAFE CORP,"13 EAST 31ST ST
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",252,OP,08/31/2005,Expired,1123545,ON-PREMISES LIQUOR,Expired,2,12/12/2001,09/09/2003,08/31/2005
TOP HAT REST CORP,"50 W 33RD STREET - 2ND FL
5TH AVENUE & BROADWAY
NEW YORK, NY 10001",252,OP,,License is Inactive,1123704,ON-PREMISES LIQUOR,License is Inactive,1,12/17/2001,,
GOLDEN BAMBOO CORP,"326 334 5TH AVENUE
32ND STREET & 33RD STREET
NEW YORK, NY 10001",252,OP,12/31/2011,License is Inactive,1123732,ON-PREMISES LIQUOR,License is Inactive,2,12/17/2001,01/01/2010,12/31/2011
GOLDEN BAMBOO CORP,"326 334 5TH AVENUE
NEW YORK, NY 10001",001,ST,03/20/2002,License is Inactive,1123733,TEMPORARY PERMIT,License is Inactive,2,12/17/2001,12/21/2001,03/20/2002
"330 FIFTH MAUI, INC","326 334 5TH AVE
NEW YORK, NY 10001",ML1,OP,,License is Inactive,1123735,ON-PREMISES LIQUOR,License is Inactive,2,12/17/2001,,
DUANE READE INC,"371 7TH AVE
30TH & 31ST STREETS
NEW YORK, NY 10001",126,DS,09/30/2004,Expired,1124214,DRUG STORE BEER,Expired,1,12/27/2001,02/20/2003,09/30/2004
LUCKY FLUKE CORPORATION,"813 9TH AVENUE
NEW YORK, NY 10001",341,RW,02/28/2017,License is Active,1124719,RESTAURANT WINE,License is Active,1,01/17/2002,03/01/2015,02/28/2017
KELOR RESTAURANT VENTURES LTD,"42 W 35TH STREET
NEW YORK, NY 10001",252,OP,02/28/2018,License is Active,1125063,ON-PREMISES LIQUOR,License is Active,4,01/31/2002,03/01/2016,02/28/2018
23RD & 9TH RESTAURANT CORP,"368 W 23RD STREET
NEW YORK, NY 10001",252,OP,02/28/2018,License is Active,1125334,ON-PREMISES LIQUOR,License is Active,2,02/13/2002,03/01/2016,02/28/2018
S & J PETROLEUM INC,"239 10TH AVENUE
NEW YORK, NY 10001",122,AX,02/28/2005,License is Inactive,1125650,"GROCERY BEER, WINE PROD",License is Inactive,2,02/27/2002,03/13/2002,02/28/2005
PINKY'S DRIVE IN INC,"425 7TH AVE
33RD & 34TH STREETS
NEW YORK, NY 10001",141,EB,03/31/2017,License is Active,1125657,EATING PLACE BEER,License is Active,3,02/28/2002,04/01/2014,03/31/2017
MANHATTAN PIZZA CORP,"1157 BROADWAY
26TH STREET & 27TH STREET
NEW YORK, NY 10001",341,RW,03/31/2004,Expired,1125946,RESTAURANT WINE,Expired,2,03/11/2002,04/01/2003,03/31/2004
GARDENIA GOURMET INC,"404 8TH AVENUE
30TH & 31ST STREETS
NEW YORK, NY 10001",122,AX,03/31/2008,License is Inactive,1126052,"GROCERY BEER, WINE PROD",License is Inactive,3,03/15/2002,04/01/2005,03/31/2008
404 DELI CORP,"404 8TH AVENUE
NEW YORK, NY 10001",ML1,AX,04/18/2002,License is Inactive,1126054,"GROCERY BEER, WINE PROD",License is Inactive,3,03/15/2002,04/18/2002,04/18/2002
MYOUNGA RESTAURANT INC,"9 W 32ND ST 1ST FLOOR
FIFTH AND SIXTH AVENUES
NEW YORK, NY 10001",252,OP,04/30/2016,License is Inactive,1126492,ON-PREMISES LIQUOR,License is Inactive,4,04/01/2002,05/01/2014,04/30/2016
JOON & HER CORP,"10 W 32ND ST
5TH AVENUE & BROADWAY
NEW YORK, NY 10001",252,OP,05/31/2006,License is Inactive,1127794,ON-PREMISES LIQUOR,License is Inactive,4,05/06/2002,06/01/2004,05/31/2006
C PENN FOODS INC,"461 8TH AVE
N W CRN 33RD ST & 8TH AVENUE
NEW YORK, NY 10001",341,RW,05/31/2017,License is Active,1128033,RESTAURANT WINE,License is Active,2,05/13/2002,06/02/2015,05/31/2017
530 W 28TH ST LP & PARADIGM MGMT GROUP LLC AS MGR,"530 W 28TH STREET
10TH AND 11TH AVENUES
NEW YORK, NY 10001",256,CR,10/31/2011,License is Inactive,1128252,CABARET LIQUOR ,License is Inactive,3,05/16/2002,11/01/2009,10/31/2011
530 W 28TH ST LP & PARADIGM MGMT GROUP LLC AS MGR,"530 W 28TH STREET
NEW YORK, NY 10001",903,CR,10/31/2011,License is Inactive,CABARET LIQUOR ,License is Inactive,3,"
",530 W 28TH ST LP & PARADIGM MGMT GROUP LLC AS MGR ,,1
530 W 28TH ST LP & PARADIGM MGMT GROUP LLC AS MGR,"530 W 28TH STREET
NEW YORK, NY 10001",904,CR,10/31/2011,License is Inactive,CABARET LIQUOR ,License is Inactive,3,"
",530 W 28TH ST LP & PARADIGM MGMT GROUP LLC AS MGR,,1
TRACKS AT PENN LLC,"PENNSYLVANIA STATION, CONCOURS
E LEVEL, SPACE #11
NEW YORK, NY 10001",252,OP,11/30/2016,License is Active,1128379,ON-PREMISES LIQUOR,License is Active,4,05/21/2002,12/01/2014,11/30/2016
RED CAFE INC,"51 WEST 35TH STREET
5TH & 6TH AVENUES
NEW YORK, NY 10001",252,OP,07/31/2012,License is Inactive,1130034,ON-PREMISES LIQUOR,License is Inactive,2,06/12/2002,08/01/2010,07/31/2012
SCOTT DELI INC,"440 9TH AVENUE
CRN OF 35TH ST & 9TH AVE
NEW YORK, NY 10001",122,AX,,License is Inactive,1130330,"GROCERY BEER, WINE PROD",License is Inactive,2,06/21/2002,,
